timeline,low,tertile,medium,high
2838.0,0.8008229504545256,low,,
2854.0,0.7854225090996307,low,,
2911.0,0.7700220677447359,low,,
2965.0,0.7546216263898412,low,,
2989.0,0.7546216263898412,low,,
2991.0,0.7546216263898412,low,,
3004.0,0.7546216263898412,low,,
3009.0,0.7546216263898412,low,,
3011.0,0.7546216263898412,low,,
3015.0,0.7546216263898412,low,,
3017.0,0.7546216263898412,low,,
3021.0,0.7546216263898412,low,,
3022.0,0.7546216263898412,low,,
3035.0,0.7546216263898412,low,,
3072.0,0.7546216263898412,low,,
3091.0,0.7546216263898412,low,,
3112.0,0.7546216263898412,low,,
3121.0,0.7546216263898412,low,,
3159.0,0.7546216263898412,low,,
3247.0,0.7546216263898412,low,,
3248.0,0.7546216263898412,low,,
3256.0,0.7546216263898412,low,,
3283.0,0.7546216263898412,low,,
3286.0,0.7546216263898412,low,,
3296.0,0.7546216263898412,low,,
3316.0,0.7546216263898412,low,,
3364.0,0.7546216263898412,low,,
3418.0,0.7244367613342477,low,,
3430.0,0.7244367613342477,low,,
3461.0,0.6929395108414546,low,,
3472.0,0.661442260348661,low,,
3492.0,0.6299450098558675,low,,
3506.0,0.6299450098558675,low,,
3603.0,0.6299450098558675,low,,
3669.0,0.5949480648638751,low,,
3926.0,0.5599511198718823,low,,
3945.0,0.5249541748798897,low,,
3959.0,0.489957229887897,low,,
4005.0,0.489957229887897,low,,
4052.0,0.489957229887897,low,,
4080.0,0.489957229887897,low,,
4159.0,0.489957229887897,low,,
4285.0,0.489957229887897,low,,
4361.0,0.489957229887897,low,,
4456.0,0.4287125761519099,low,,
4929.0,0.4287125761519099,low,,
5042.0,0.4287125761519099,low,,
5156.0,0.4287125761519099,low,,
6456.0,0.32153443211393246,low,,
6593.0,0.21435628807595497,low,,
7106.0,0.21435628807595497,low,,
7455.0,0.0,low,,
0.0,,medium,1.0,
5.0,,medium,1.0,
10.0,,medium,1.0,
11.0,,medium,1.0,
16.0,,medium,1.0,
19.0,,medium,1.0,
21.0,,medium,1.0,
24.0,,medium,1.0,
26.0,,medium,1.0,
31.0,,medium,1.0,
51.0,,medium,1.0,
70.0,,medium,1.0,
76.0,,medium,1.0,
80.0,,medium,1.0,
92.0,,medium,1.0,
98.0,,medium,1.0,
118.0,,medium,1.0,
149.0,,medium,1.0,
213.0,,medium,1.0,
222.0,,medium,1.0,
239.0,,medium,0.9969230769230768,
242.0,,medium,0.9969230769230768,
243.0,,medium,0.9969230769230768,
266.0,,medium,0.9969230769230768,
273.0,,medium,0.9969230769230768,
274.0,,medium,0.9969230769230768,
287.0,,medium,0.9969230769230768,
297.0,,medium,0.9969230769230768,
300.0,,medium,0.9969230769230768,
304.0,,medium,0.9937582417582413,
317.0,,medium,0.9937582417582413,
320.0,,medium,0.9905628776368326,
336.0,,medium,0.9873571725312109,
339.0,,medium,0.9873571725312109,
343.0,,medium,0.9873571725312109,
352.0,,medium,0.9873571725312109,
358.0,,medium,0.9873571725312109,
363.0,,medium,0.9873571725312109,
364.0,,medium,0.9873571725312109,
365.0,,medium,0.9873571725312109,
368.0,,medium,0.9873571725312109,
370.0,,medium,0.9873571725312109,
371.0,,medium,0.9873571725312109,
375.0,,medium,0.9873571725312109,
376.0,,medium,0.9873571725312109,
380.0,,medium,0.9873571725312109,
381.0,,medium,0.9873571725312109,
385.0,,medium,0.9839758123513098,
396.0,,medium,0.9839758123513098,
397.0,,medium,0.9839758123513098,
398.0,,medium,0.9839758123513098,
408.0,,medium,0.9839758123513098,
409.0,,medium,0.9839758123513098,
414.0,,medium,0.9839758123513098,
416.0,,medium,0.9839758123513098,
418.0,,medium,0.9839758123513098,
421.0,,medium,0.9839758123513098,
423.0,,medium,0.9839758123513098,
426.0,,medium,0.9804235531009436,
431.0,,medium,0.9804235531009436,
433.0,,medium,0.9804235531009436,
